"ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter","Taxon","Assemblage","Group","z2","Stressor","cp","Class_allCP","Class_hiloCP"
0,4.55,137,1,24,0.002,8.66,3.49,3.7015,4.55,11.03,22.33925,1,1,9.00690541227573,1,"Aulacoseira","Diatom","Decreasers",-8.66,"Chl-a",10.7,"Sensitive","Sensitive"
38.38,38.115,114,2,25.97,0.002,11.81,12.97475,17.17755,38.265,47.36,48.8404,1,1,12.1365230230575,2,"Bacillaria","Diatom","Increasers",11.81,"Chl-a",47.36,"Tolerant","Other"
566.01,71.6195,230,1,22.9,0.01,3.26,1.15453375,3.54,34.95,83.6779,152.695,0.566,0.996,4.25052052083309,0,"Caloneis","Diatom","Neither",3.26,"Chl-a",NA,"Other","Other"
382.17,7.45,706,1,55.39,0.002,5.59,6.35,6.355,6.985,380.291,395.306,0.987,0.985,6.07829696726088,1,"Cocconeis","Diatom","Decreasers",-5.59,"Chl-a",10.7,"Sensitive","Sensitive"
242.99,242.99,74,2,18.84,0.004,4.99,12.1196,18.6,110.969,242.99,242.99,0.962,0.985,5.93691026481411,2,"Craticula","Diatom","Increasers",4.99,"Chl-a",47.36,"Tolerant","Tolerant"
239.729,39.435,312,2,60.38,0.002,16.44,22.39825,25.98,37.745,61.269435,63.755521,1,1,16.5848484606982,2,"Cyclotella","Diatom","Increasers",16.44,"Chl-a",47.36,"Tolerant","Other"
705.484,25.97,214,1,20.58,0.012,3,1.0035,3.5245655,36.2315,97.3157,167.829625,0.868,0.983,3.80546720005618,0,"Cymbella","Diatom","Neither",3,"Chl-a",NA,"Other","Other"
33.39,31.545,117,2,24.89,0.002,11.39,17.695,18.2,31.795,44.180985,47.78925,1,1,11.9371893039197,2,"Denticula","Diatom","Increasers",11.39,"Chl-a",47.36,"Tolerant","Other"
0.359484,0.359484,61,1,12.07,0.042,2.11,0,0,2.89,146.617,219.05,0.732,0.87,3.84634024631893,0,"Diadesmis","Diatom","Neither",2.11,"Chl-a",NA,"Other","Other"
0,5.555,270,1,36.29,0.002,8.63,3.60478275,4.05,5.595,7.12,8.08,1,1,9.115772455103,1,"Diatoma","Diatom","Decreasers",-8.63,"Chl-a",10.7,"Sensitive","Sensitive"
0.945,18.87,106,1,10.72,0.034,2.38,0.21,0.945,18.48,115.95,123.5265,0.882,0.84,4.04621074540374,0,"Diploneis","Diatom","Neither",2.38,"Chl-a",NA,"Other","Other"
0,5.005,254,1,32.71,0.002,7.38,0,0.2,5.225,34.8016,35.6137,1,1,8.55983021845145,1,"Encyonema","Diatom","Decreasers",-7.38,"Chl-a",10.7,"Sensitive","Sensitive"
