"ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter","Taxon","Assemblage","Group","z2","Stressor","cp","Class_allCP","Class_hiloCP"
0,1.818,445,1,29.01,0.01,10.3,1.288,1.4103,2.4655,3.1730036,3.2538,1,1,9.72158859070609,1,"Epeorus","BMI","Decreasers",-10.3,"AFDM",2.0245,"Sensitive","Sensitive"
0.3185,0.371,155,1,13.48,0.01,6.01,0,0.29695,0.46525,1.86578,2.001225,0.99,0.99,6.42901407695938,1,"Ephemerella","BMI","Decreasers",-6.01,"AFDM",2.0245,"Sensitive","Sensitive"
0,0,85,1,21.78,0.01,9.95,0,0,0,4.2922,5.0940215,0.8,1,9.44883238221449,0,"Ephydridae","BMI","Neither",9.95,"AFDM",NA,"Other","Other"
8.7175,2.5,280,1,19.36,0.01,6.16,1.2248,1.6638,2.54438,2.85605,2.9585,0.98,1,7.48193244367748,1,"Eubrianax","BMI","Decreasers",-6.16,"AFDM",2.0245,"Sensitive","Other"
4.470485,2.767,283,2,28.17,0.01,15.43,2.108,2.5,3.182,4.0197,4.13595,1,1,15.3733729584306,2,"Fallceon","BMI","Increasers",15.43,"AFDM",3.08626,"Tolerant","Other"
13.4,5.570725,72,2,6.43,0.02,2.62,0,0,4.37258,13.28228,13.70804675,0.6,0.93,5.16338947992633,0,"Ferrissia","BMI","Neither",2.62,"AFDM",NA,"Other","Other"
0,2.6804,290,1,18.52,0.01,4.61,0.31985,0.3321,2.5,3.30881800000002,7.18029825,0.87,1,5.2037937346999,0,"Glossosoma","BMI","Neither",4.61,"AFDM",NA,"Other","Other"
0,0,87,1,37.99,0.02,4.91,0,0,0.5695,1.929784,1.9954,0.99,0.99,6.14884089176637,1,"Glutops","BMI","Decreasers",-4.91,"AFDM",2.0245,"Sensitive","Sensitive"
0,0.6945,284,2,18.5,0.01,4.34,0.260425,0.31745,0.688,1.42035,2.879,0.97,0.99,4.61167802950718,2,"Gumaga","BMI","Increasers",4.34,"AFDM",3.08626,"Tolerant","Other"
25.299,0.1885,101,1,13.54,0.01,5.25,0,0,0.28,21.89755,33.282,0.85,0.95,7.06882622751827,0,"Gyraulus","BMI","Neither",5.25,"AFDM",NA,"Other","Other"
10.1347,0.758,123,1,8.13,0.02,2.63,0,0,1.39935,10.13623,10.2469,0.71,0.98,4.79705727387122,0,"Helicopsyche","BMI","Neither",2.63,"AFDM",NA,"Other","Other"
0.137,4.285,52,1,4.62,0.04,2.36,0,0.131140525,1.319,4.3066,4.43675675,0.94,0.95,4.04597014052194,0,"Helisoma","BMI","Neither",2.36,"AFDM",NA,"Other","Other"
13.4298,3.08626,149,2,11.36,0.01,5.35,0.505,0.53,2.0255,3.58445,4.09978975,0.95,0.98,6.24057187382039,2,"Hemerodromia","BMI","Increasers",5.35,"AFDM",3.08626,"Tolerant","Other"
25.299,1.35,125,1,7.59,0.03,2.72,0.3023,0.5608,1.44425,21.11705,25.2225,0.76,0.91,4.12416490247537,0,"Hesperoperla","BMI","Neither",2.72,"AFDM",NA,"Other","Other"
0,0,111,1,58.16,0.01,13.92,0,0.15405,0.56325,0.7229,0.83535,1,1,9.81464758156871,1,"Heterlimnius","BMI","Decreasers",-13.92,"AFDM",2.0245,"Sensitive","Sensitive"
20.6259,1.515,172,1,10.6,0.01,3.52,0.31985,0.8057,2.54219,21.7173500000001,33.260625,0.58,1,5.01092953235209,0,"Heteroplectron","BMI","Neither",3.52,"AFDM",NA,"Other","Other"
0,5.05,227,1,15.93,0.01,4.11,0,0.17955,2.925,6.14055,7.2765,0.95,1,5.15384751398263,1,"Hexatoma","BMI","Decreasers",-4.11,"AFDM",2.0245,"Sensitive","Other"
13.4298,2.197,262,2,18.23,0.01,6.37,1.12845,1.3923,2.18425,4.1619745,5.7125325,0.97,0.99,7.39375176373837,2,"Hyalella","BMI","Increasers",6.37,"AFDM",3.08626,"Tolerant","Other"
21.039,11.422,92,2,9.86,0.03,2.69,0.473775,0.68695,12.081,20.66721,25.425175,0.71,0.9,4.25327994772125,0,"Hydraena","BMI","Neither",2.69,"AFDM",NA,"Other","Other"
0.1035,0.5965,81,2,5.26,0.1,1.59,0.3569,0.44615,0.82675,5.407,5.864576,0.67,0.83,3.23664443066291,0,"Hydrobiidae","BMI","Neither",1.59,"AFDM",NA,"Other","Other"
5.49658,3.28,432,2,34.07,0.01,10.27,1.40745,1.5119,3.31225,5.3845,5.46525,1,1,11.2771971069439,2,"Hydroptila","BMI","Increasers",10.27,"AFDM",3.08626,"Tolerant","Tolerant"
0,2.5,224,1,13.56,0.01,3.43,0.19365,0.2708,2.041,5.529,8.95974999999996,0.89,0.95,4.66108756256572,0,"Ironodes","BMI","Neither",3.43,"AFDM",NA,"Other","Other"
25.299,0.317,102,1,9.57,0.01,5,0,0.186,0.31775,16.7535,22.73495,0.69,1,7.17195929521119,0,"Isoperla","BMI","Neither",5,"AFDM",NA,"Other","Other"
7.4,0.6155,77,2,5.56,0.02,3.08,0,0,0.663,4.5603,5.5054775,0.58,0.95,3.82511504669428,0,"Juga","BMI","Neither",3.08,"AFDM",NA,"Other","Other"
