Group,Subgroup,Genus_orig,References,Taxon,InTitan
Dermatotoxin,Dermatotoxin,Scytonematopsis,Greenwater Labs Training 2020,,FALSE
Hepatotoxin,Nodularin,Nostoc,Greenwater Labs Training 2020,,TRUE
Hepatotoxin,Cylindrospermopsin,Anabaena,Greenwater Labs Training 2020,,TRUE
Hepatotoxin,Microcystin,Snowella,Greenwater Labs Training 2020,,FALSE
Neurotoxin,Anatoxin,Sphaerospermopsis (Dolicospermopsis-like),Greenwater Labs Training 2020,,FALSE
Neurotoxin,Saxitoxin,Suspidothrix,Greenwater Labs Training 2020,,FALSE
Dermatotoxin,Dermatotoxin,Symploca,Greenwater Labs Training 2020,,FALSE
Hepatotoxin,Cylindrospermopsin,Phormidium,Greenwater Labs Training 2020,,TRUE
Taste and odor,Sulfur compounds,Synechococcus,Greenwater Labs Training 2020,,FALSE
Neurotoxin,Anatoxin,Synechocystis,Greenwater Labs Training 2020,,FALSE
Hepatotoxin,Microcystin,Synechocystis,Greenwater Labs Training 2020,,FALSE
Neurotoxin,Anatoxin,Trichormus,Greenwater Labs Training 2020,,FALSE
Dermatotoxin,Dermatotoxin,Leibleinia,Greenwater Labs Training 2020,,TRUE
Hepatotoxin,Microcystin,Trichormus,Greenwater Labs Training 2020,,FALSE
Dermatotoxin,Dermatotoxin,Nostoc,Greenwater Labs Training 2020,,TRUE
Dermatotoxin,Dermatotoxin,Phormidium,Greenwater Labs Training 2020,,TRUE
Hepatotoxin,Cylindrospermopsin,Umezakia,Greenwater Labs Training 2020; EPA website,,FALSE
Neurotoxin,Anatoxin,Woronichinia,EPA website,,FALSE
Hepatotoxin,Microcystin,Woronichinia,Greenwater Labs Training 2020,,FALSE
